Ticker,Return Rate of MA05,Return Rate of MA10,Return Rate of MA20,Return Rate of MonthlySIP,Return Rate of WeeklySIP,Distance of Close2BBLowerLim,Return Rate of MA5CrossMA10,Return Rate of MA05_WoSell,Return Rate of MA10_WoSell,Return Rate of MA20_WoSell,Return Rate of MA05CrossMA10_WoSell,Return Rate of MA10CrossMA20_WoSell,Return Rate of MACD,Return Rate of BB
A,21.80795885272475,7.005611572570874,-0.45563612125338016,4.999895807624311,4.7773225180402346,0.04220060616926156,8.60310318061052,4.83622689303597,3.583729765169747,4.364984664249031,4.888472017313844,5.0068230710131525,15.634038023568756,24.929871547989492
AAPL,4.371701340993963,18.715088951374746,12.640458727086918,10.489125426184145,8.931896945072577,0.03235157175076136,18.59550104628815,10.876867822972027,9.795651748771855,15.294287560942449,11.418743952853898,8.858774808477827,7.858227296025991,14.423258054064487
ABBV,28.613492494898047,0.7466099946266963,-13.374052940003864,5.341006339169839,7.286041774827762,0.17528841542808013,0.4748267270644583,6.695320527903846,6.165312768860998,6.3559416453064665,8.408329182815653,6.214398112458923,-9.333936773854015,21.462336313114776
ABNB,-19.383214622600317,-19.985227821471547,-13.932302447505245,-3.7463615547650515,-3.1469758869850852,0.0643823563929936,-11.273578408072035,-2.542129119085732,-2.279480833720617,-3.4914525652780055,-2.81375422765104,-1.3285503378766557,-5.567502708655247,-8.103264930133124
ABT,-1.8455476791864482,-0.25336410730208214,6.318719122365486,14.431698340254165,15.44092361261754,0.19968067718876145,1.489456792724805,15.89656849421342,15.234716762132262,16.151140722311556,16.196536119945034,13.695473494751687,1.2059370885450154,12.162216296330833
ACGL,-12.305296732233039,-15.877300797332971,-2.0446128500086616,-3.153281278935495,-4.015909076353517,0.03446062850300597,2.0507515026838283,-5.110989965396411,-5.9827132898677995,-5.600601406540666,-6.464138643982591,-2.7997395173511057,-3.7924707578743293,-9.95713305945606
ACN,3.1724132872679673,-7.001504457656075,-14.145946933364476,14.114625466919836,14.48967239686178,0.1493309174770944,8.949858475657043,13.21121493397856,12.732987752463176,12.318858003125545,15.610417801365898,13.490529740928439,-8.255555215904778,-4.497317896476217
ADBE,-18.834171796711722,-14.76362918692782,-19.023866627715684,-14.392900462526558,-13.624366501236352,0.059676664425967064,-14.671313742792435,-14.825870179046946,-13.12041087584926,-13.917093834496882,-13.615920663075467,-16.011289590330698,-16.06059070261506,-0.9134962973925376
ADI,-20.379642118453006,-10.701287898498315,-18.648653363044684,-3.1191414938800515,-4.3267208333988885,0.01924007481588583,-4.460582045787476,-5.455120455936667,-4.525581888252659,-5.77210939810182,-5.444437749382169,-5.563318489167301,-14.931875132057904,32.18295003637846
ADM,0.263115465500445,-8.333350085366042,-25.32187624074008,-19.285794403424088,-20.017731011157238,-0.005601513405786982,-16.788750051215093,-20.380662457136147,-20.37930649781753,-20.973726825128033,-19.327337638039943,-21.695278444965773,-14.941517251054343,-5.5276006187380355
